instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 64;
generations = 10;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   0  Best=0.27686608  Result=0.27686608  Best=0.27686608  Seed=C0A94974  ResultHash=3607  ProgramHash=0411
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  13  Best=0.05471969  Result=0.06447482  Best=0.05471969  Seed=C0A949F6  ResultHash=C293  ProgramHash=CFA3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  14  Best=0.05471969  Result=0.06579471  Best=0.05471969  Seed=C0A94A00  ResultHash=E648  ProgramHash=BB68
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  15  Best=0.05471969  Result=0.06430203  Best=0.05471969  Seed=C0A94A0A  ResultHash=16A3  ProgramHash=BB68
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  16  Best=0.05471969  Result=0.06422698  Best=0.05471969  Seed=C0A94A14  ResultHash=E0D4  ProgramHash=2628
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  17  Best=0.05471969  Result=0.06434524  Best=0.05471969  Seed=C0A94A1E  ResultHash=63DB  ProgramHash=2628
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  18  Best=0.05471969  Result=0.06374878  Best=0.05471969  Seed=C0A94A28  ResultHash=AF58  ProgramHash=48EA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  19  Best=0.05471969  Result=0.06320965  Best=0.05471969  Seed=C0A94A32  ResultHash=016F  ProgramHash=28BA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  20  Best=0.05471969  Result=0.06331718  Best=0.05471969  Seed=C0A94A3C  ResultHash=D8D9  ProgramHash=28BA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  21  Best=0.05471969  Result=0.06300497  Best=0.05471969  Seed=C0A94A46  ResultHash=DDF2  ProgramHash=28BA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  22  Best=0.05471969  Result=0.06134737  Best=0.05471969  Seed=C0A94A50  ResultHash=3FD1  ProgramHash=873A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  23  Best=0.05471969  Result=0.06301796  Best=0.05471969  Seed=C0A94A5A  ResultHash=B34D  ProgramHash=45DC
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  24  Best=0.05471969  Result=0.06268036  Best=0.05471969  Seed=C0A94A64  ResultHash=FA24  ProgramHash=B5FE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  25  Best=0.05471969  Result=0.06241572  Best=0.05471969  Seed=C0A94A6E  ResultHash=07B5  ProgramHash=F829
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  26  Best=0.05471969  Result=0.06394064  Best=0.05471969  Seed=C0A94A78  ResultHash=2039  ProgramHash=DE6D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  27  Best=0.05471969  Result=0.06347442  Best=0.05471969  Seed=C0A94A82  ResultHash=2EF1  ProgramHash=8F01
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  28  Best=0.05471969  Result=0.06332956  Best=0.05471969  Seed=C0A94A8C  ResultHash=3B35  ProgramHash=349B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  29  Best=0.05471969  Result=0.06351578  Best=0.05471969  Seed=C0A94A96  ResultHash=E30B  ProgramHash=857D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  30  Best=0.05471969  Result=0.06286830  Best=0.05471969  Seed=C0A94AA0  ResultHash=191C  ProgramHash=DAD0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  31  Best=0.05471969  Result=0.06301594  Best=0.05471969  Seed=C0A94AAA  ResultHash=F9FC  ProgramHash=DAD0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  32  Best=0.05471969  Result=0.06299162  Best=0.05471969  Seed=C0A94AB4  ResultHash=7CDF  ProgramHash=DAD0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  33  Best=0.05471969  Result=0.06268132  Best=0.05471969  Seed=C0A94ABE  ResultHash=7ABB  ProgramHash=3D24
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  34  Best=0.05471969  Result=0.06318015  Best=0.05471969  Seed=C0A94AC8  ResultHash=C358  ProgramHash=DAD0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  35  Best=0.05471969  Result=0.06191045  Best=0.05471969  Seed=C0A94AD2  ResultHash=731C  ProgramHash=083B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  36  Best=0.05471969  Result=0.06228894  Best=0.05471969  Seed=C0A94ADC  ResultHash=8628  ProgramHash=FBBA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  37  Best=0.05471969  Result=0.06272197  Best=0.05471969  Seed=C0A94AE6  ResultHash=035F  ProgramHash=8F74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  38  Best=0.05471969  Result=0.06369019  Best=0.05471969  Seed=C0A94AF0  ResultHash=5CCF  ProgramHash=8F74
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  39  Best=0.05471969  Result=0.06223524  Best=0.05471969  Seed=C0A94AFA  ResultHash=7DB7  ProgramHash=406C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  40  Best=0.05471969  Result=0.06218427  Best=0.05471969  Seed=C0A94B04  ResultHash=12F6  ProgramHash=EDF8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  41  Best=0.05471969  Result=0.06187833  Best=0.05471969  Seed=C0A94B0E  ResultHash=0AC0  ProgramHash=A2B3
