instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
generations = 10;
precision = 256;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.14755785  Result=0.14755785  Best=0.14755785  Seed=C0A94974  ResultHash=948C  ProgramHash=9D66
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.05062097  Result=0.05576253  Best=0.05062097  Seed=C0A94AE6  ResultHash=68F2  ProgramHash=7256
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.05062097  Result=0.06931478  Best=0.05062097  Seed=C0A94AF0  ResultHash=7E37  ProgramHash=4ED7
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.05062097  Result=0.06675887  Best=0.05062097  Seed=C0A94AFA  ResultHash=8C28  ProgramHash=2894
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.05062097  Result=0.07197219  Best=0.05062097  Seed=C0A94B04  ResultHash=2132  ProgramHash=053B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.05062097  Result=0.05822778  Best=0.05062097  Seed=C0A94B0E  ResultHash=2F9F  ProgramHash=4A39
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.05062097  Result=0.06071681  Best=0.05062097  Seed=C0A94B18  ResultHash=F130  ProgramHash=AABD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.05062097  Result=0.07435346  Best=0.05062097  Seed=C0A94B22  ResultHash=D863  ProgramHash=8030
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  44  Best=0.05062097  Result=0.06924951  Best=0.05062097  Seed=C0A94B2C  ResultHash=4298  ProgramHash=434F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  45  Best=0.05062097  Result=0.06092292  Best=0.05062097  Seed=C0A94B36  ResultHash=210E  ProgramHash=2122
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  46  Best=0.05062097  Result=0.05859633  Best=0.05062097  Seed=C0A94B40  ResultHash=5B75  ProgramHash=BD4A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  47  Best=0.05062097  Result=0.05475795  Best=0.05062097  Seed=C0A94B4A  ResultHash=A00B  ProgramHash=A397
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  48  Best=0.05062097  Result=0.08240807  Best=0.05062097  Seed=C0A94B54  ResultHash=C851  ProgramHash=1A96
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  49  Best=0.05062097  Result=0.05470872  Best=0.05062097  Seed=C0A94B5E  ResultHash=2ED5  ProgramHash=25CF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  50  Best=0.05062097  Result=0.05418408  Best=0.05062097  Seed=C0A94B68  ResultHash=7DE8  ProgramHash=4B4B
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.00445095  Result=0.00445095  Best=0.00445095  Seed=C0A949CE  ResultHash=7232  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.00426915  Result=0.00426915  Best=0.00426915  Seed=C0A94A32  ResultHash=6867  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.00423670  Result=0.00423670  Best=0.00423670  Seed=C0A94A96  ResultHash=B2F6  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.00415042  Result=0.00415042  Best=0.00415042  Seed=C0A94AFA  ResultHash=5DED  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.00415042  Result=0.00421834  Best=0.00415042  Seed=C0A94B5E  ResultHash=8779  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.00415042  Result=0.00423503  Best=0.00415042  Seed=C0A94BC2  ResultHash=BBA1  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.00415042  Result=0.00415134  Best=0.00415042  Seed=C0A94C26  ResultHash=6155  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.00412655  Result=0.00412655  Best=0.00412655  Seed=C0A94C8A  ResultHash=9867  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.00412655  Result=0.00416899  Best=0.00412655  Seed=C0A94CEE  ResultHash=59D9  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.00412655  Result=0.00414884  Best=0.00412655  Seed=C0A94D52  ResultHash=2CBC  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.00412655  Result=0.00419167  Best=0.00412655  Seed=C0A94DB6  ResultHash=8C44  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.00412655  Result=0.00419688  Best=0.00412655  Seed=C0A94E1A  ResultHash=C4E4  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best=0.00412655  Result=0.00413108  Best=0.00412655  Seed=C0A94E7E  ResultHash=4298  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best=0.00412583  Result=0.00412583  Best=0.00412583  Seed=C0A94EE2  ResultHash=A6BC  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  14  Best=0.00412583  Result=0.00413275  Best=0.00412583  Seed=C0A94F46  ResultHash=AB4D  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  15  Best=0.00412229  Result=0.00412229  Best=0.00412229  Seed=C0A94FAA  ResultHash=6B39  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  16  Best=0.00411427  Result=0.00411427  Best=0.00411427  Seed=C0A9500E  ResultHash=8ADF  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  17  Best=0.00411427  Result=0.00415492  Best=0.00411427  Seed=C0A95072  ResultHash=83A9  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  18  Best=0.00411427  Result=0.00414729  Best=0.00411427  Seed=C0A950D6  ResultHash=5098  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  19  Best=0.00411427  Result=0.00411859  Best=0.00411427  Seed=C0A9513A  ResultHash=7596  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  20  Best=0.00411427  Result=0.00413299  Best=0.00411427  Seed=C0A9519E  ResultHash=2313  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  21  Best=0.00410867  Result=0.00410867  Best=0.00410867  Seed=C0A95202  ResultHash=2CB9  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  22  Best=0.00410867  Result=0.00411296  Best=0.00410867  Seed=C0A95266  ResultHash=601E  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  23  Best=0.00410867  Result=0.00414300  Best=0.00410867  Seed=C0A952CA  ResultHash=F2D6  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  24  Best=0.00410867  Result=0.00416291  Best=0.00410867  Seed=C0A9532E  ResultHash=8D45  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  25  Best=0.00410867  Result=0.00411868  Best=0.00410867  Seed=C0A95392  ResultHash=E131  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  26  Best=0.00410867  Result=0.00415245  Best=0.00410867  Seed=C0A953F6  ResultHash=8315  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  27  Best=0.00410867  Result=0.00416780  Best=0.00410867  Seed=C0A9545A  ResultHash=82AA  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  28  Best=0.00410867  Result=0.00411820  Best=0.00410867  Seed=C0A954BE  ResultHash=06F1  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  29  Best=0.00410867  Result=0.00414661  Best=0.00410867  Seed=C0A95522  ResultHash=EAC0  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.00410867  Result=0.00413561  Best=0.00410867  Seed=C0A95586  ResultHash=273A  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.00408459  Result=0.00408459  Best=0.00408459  Seed=C0A955EA  ResultHash=6D2A  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.00408459  Result=0.00410557  Best=0.00408459  Seed=C0A9564E  ResultHash=691C  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.00408459  Result=0.00413084  Best=0.00408459  Seed=C0A956B2  ResultHash=6E37  ProgramHash=F0A5
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.00408459  Result=0.00413799  Best=0.00408459  Seed=C0A95716  ResultHash=E593  ProgramHash=F0A5
