variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_EVOLVE;
units = 10;
processes = 16;
population = 69632;
iterations = 256;
candidates = 16;
generations = 100;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_EVOLVE: Seed=0  Generation=0  Age=0  Best=0.00555515  BestSeed=0  Time=1.1867 Seconds  Run Time=14.2712 Seconds  TestError=0.00000250
FIRESTARTER_EVOLVE: Seed=0  Generation=0  Age=0  Best=0.00097457  BestSeed=1  Time=1.1867 Seconds  Run Time=14.4502 Seconds  TestError=0.00000012
FIRESTARTER_EVOLVE: Seed=0  Generation=0  Age=0  Best=0.00086308  BestSeed=2  Time=1.1867 Seconds  Run Time=14.5613 Seconds  TestError=0.00000083
FIRESTARTER_EVOLVE: Seed=0  Generation=0  Age=0  Best=0.00086308  BestSeed=2  Time=1.1867 Seconds  Run Time=14.5617 Seconds  TestError=0.00000012
FIRESTARTER_EVOLVE: Seed=0  Generation=0  Age=0  Best=0.00086308  BestSeed=2  Time=1.1867 Seconds  Run Time=14.5621 Seconds  TestError=0.00000012
FIRESTARTER_EVOLVE: Seed=0  Generation=0  Age=0  Best=0.00039327  BestSeed=5  Time=1.1867 Seconds  Run Time=14.6719 Seconds  TestError=0.00000006
FIRESTARTER_EVOLVE: Seed=0  Generation=0  Age=0  Best=0.00039327  BestSeed=5  Time=1.1867 Seconds  Run Time=14.6723 Seconds  TestError=0.00000036
FIRESTARTER_EVOLVE: Seed=0  Generation=0  Age=0  Best=0.00039327  BestSeed=5  Time=1.1867 Seconds  Run Time=14.6727 Seconds  TestError=0.00000089
FIRESTARTER_EVOLVE: Seed=0  Generation=0  Age=0  Best=0.00039327  BestSeed=5  Time=1.1867 Seconds  Run Time=14.6731 Seconds  TestError=0.00000024
FIRESTARTER_EVOLVE: Seed=0  Generation=0  Age=0  Best=0.00039327  BestSeed=5  Time=1.1867 Seconds  Run Time=14.6734 Seconds  TestError=0.00000018
FIRESTARTER_EVOLVE: Seed=1  Generation=1  Age=1  Best=0.00039327  BestSeed=5  Time=0.4764 Seconds  Run Time=17.7875 Seconds  TestError=0.00000083
FIRESTARTER_EVOLVE: Seed=1  Generation=1  Age=1  Best=0.00039327  BestSeed=5  Time=0.4764 Seconds  Run Time=17.7879 Seconds  TestError=0.00000146
FIRESTARTER_EVOLVE: Seed=1  Generation=1  Age=1  Best=0.00039327  BestSeed=5  Time=0.4764 Seconds  Run Time=17.7883 Seconds  TestError=0.00000060
FIRESTARTER_EVOLVE: Seed=1  Generation=1  Age=1  Best=0.00039327  BestSeed=5  Time=0.4764 Seconds  Run Time=17.7886 Seconds  TestError=0.00000060
FIRESTARTER_EVOLVE: Seed=1  Generation=1  Age=1  Best=0.00039327  BestSeed=5  Time=0.4764 Seconds  Run Time=17.7890 Seconds  TestError=0.00000009
FIRESTARTER_EVOLVE: Seed=1  Generation=1  Age=1  Best=0.00039327  BestSeed=5  Time=0.4764 Seconds  Run Time=17.7893 Seconds  TestError=0.00000066
FIRESTARTER_EVOLVE: Seed=1  Generation=1  Age=1  Best=0.00039327  BestSeed=5  Time=0.4764 Seconds  Run Time=17.7896 Seconds  TestError=0.00000024
FIRESTARTER_EVOLVE: Seed=1  Generation=1  Age=1  Best=0.00039327  BestSeed=5  Time=0.4764 Seconds  Run Time=17.7900 Seconds  TestError=0.00000024
FIRESTARTER_EVOLVE: Seed=1  Generation=1  Age=1  Best=0.00039327  BestSeed=5  Time=0.4764 Seconds  Run Time=17.7903 Seconds  TestError=0.00000054
FIRESTARTER_EVOLVE: Seed=1  Generation=1  Age=1  Best=0.00039327  BestSeed=5  Time=0.4764 Seconds  Run Time=17.7906 Seconds  TestError=0.00000024
FIRESTARTER_EVOLVE: Seed=2  Generation=2  Age=2  Best=0.00039327  BestSeed=5  Time=0.3061 Seconds  Run Time=20.8488 Seconds  TestError=0.00000060
FIRESTARTER_EVOLVE: Seed=2  Generation=2  Age=2  Best=0.00039327  BestSeed=5  Time=0.3061 Seconds  Run Time=20.8492 Seconds  TestError=0.00000009
FIRESTARTER_EVOLVE: Seed=2  Generation=2  Age=0  Best=0.00021495  BestSeed=4  Time=0.3061 Seconds  Run Time=20.9410 Seconds  TestError=0.00000046
FIRESTARTER_EVOLVE: Seed=2  Generation=2  Age=0  Best=0.00021495  BestSeed=4  Time=0.3061 Seconds  Run Time=20.9414 Seconds  TestError=0.00000015
FIRESTARTER_EVOLVE: Seed=2  Generation=2  Age=0  Best=0.00021495  BestSeed=4  Time=0.3061 Seconds  Run Time=20.9418 Seconds  TestError=0.00000024
FIRESTARTER_EVOLVE: Seed=2  Generation=2  Age=0  Best=0.00021495  BestSeed=4  Time=0.3061 Seconds  Run Time=20.9421 Seconds  TestError=0.00000006
FIRESTARTER_EVOLVE: Seed=2  Generation=2  Age=0  Best=0.00021495  BestSeed=4  Time=0.3061 Seconds  Run Time=20.9425 Seconds  TestError=0.00000018
FIRESTARTER_EVOLVE: Seed=2  Generation=2  Age=0  Best=0.00021495  BestSeed=4  Time=0.3061 Seconds  Run Time=20.9429 Seconds  TestError=0.00000012
FIRESTARTER_EVOLVE: Seed=2  Generation=2  Age=0  Best=0.00021495  BestSeed=4  Time=0.3061 Seconds  Run Time=20.9433 Seconds  TestError=0.00000000
FIRESTARTER_EVOLVE: Seed=2  Generation=2  Age=0  Best=0.00021495  BestSeed=4  Time=0.3061 Seconds  Run Time=20.9436 Seconds  TestError=0.00000067
FIRESTARTER_EVOLVE: Seed=3  Generation=3  Age=1  Best=0.00021495  BestSeed=4  Time=0.3281 Seconds  Run Time=24.1299 Seconds  TestError=0.00000119
FIRESTARTER_EVOLVE: Seed=3  Generation=3  Age=1  Best=0.00021495  BestSeed=4  Time=0.3281 Seconds  Run Time=24.1304 Seconds  TestError=0.00098316
FIRESTARTER_EVOLVE: Seed=3  Generation=3  Age=1  Best=0.00021495  BestSeed=4  Time=0.3281 Seconds  Run Time=24.1308 Seconds  TestError=0.00000143
FIRESTARTER_EVOLVE: Seed=3  Generation=3  Age=1  Best=0.00021495  BestSeed=4  Time=0.3281 Seconds  Run Time=24.1312 Seconds  TestError=0.00000006
