instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
generations = 4;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  28  Best=0.01269356  Result=0.01288706  Best=0.01269356  Seed=C0A949DE  ResultHash=BB2B  ProgramHash=EE64
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  29  Best=0.01269356  Result=0.01315415  Best=0.01269356  Seed=C0A949E2  ResultHash=8DFA  ProgramHash=EE64
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  30  Best=0.01269356  Result=0.01284516  Best=0.01269356  Seed=C0A949E6  ResultHash=9EB7  ProgramHash=EE64
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  31  Best=0.01269356  Result=0.01279016  Best=0.01269356  Seed=C0A949EA  ResultHash=256D  ProgramHash=EE64
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  32  Best=0.01269356  Result=0.01282394  Best=0.01269356  Seed=C0A949EE  ResultHash=6D61  ProgramHash=EE64
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  33  Best=0.01264775  Result=0.01264775  Best=0.01264775  Seed=C0A949F2  ResultHash=35CF  ProgramHash=EE64
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  34  Best=0.01264775  Result=0.01275718  Best=0.01264775  Seed=C0A949F6  ResultHash=527C  ProgramHash=EE64
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  35  Best=0.01264775  Result=0.01284057  Best=0.01264775  Seed=C0A949FA  ResultHash=119B  ProgramHash=EE64
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  36  Best=0.01253438  Result=0.01253438  Best=0.01253438  Seed=C0A949FE  ResultHash=05E7  ProgramHash=EE64
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  37  Best=0.01253438  Result=0.01262987  Best=0.01253438  Seed=C0A94A02  ResultHash=C6CF  ProgramHash=EE64
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  38  Best=0.01253438  Result=0.01262981  Best=0.01253438  Seed=C0A94A06  ResultHash=A8E6  ProgramHash=EE64
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  39  Best=0.01253438  Result=0.01263463  Best=0.01253438  Seed=C0A94A0A  ResultHash=4B79  ProgramHash=EE64
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  40  Best=0.01253438  Result=0.01268864  Best=0.01253438  Seed=C0A94A0E  ResultHash=E176  ProgramHash=EE64
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  41  Best=0.01253438  Result=0.01276340  Best=0.01253438  Seed=C0A94A12  ResultHash=688C  ProgramHash=EE64
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  42  Best=0.01253438  Result=0.01272341  Best=0.01253438  Seed=C0A94A16  ResultHash=44CE  ProgramHash=EE64
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  43  Best=0.01253438  Result=0.01254326  Best=0.01253438  Seed=C0A94A1A  ResultHash=3F4C  ProgramHash=EE64
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  44  Best=0.01253438  Result=0.01259214  Best=0.01253438  Seed=C0A94A1E  ResultHash=81C9  ProgramHash=EE64
