CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.03495392  Best=0.03495392 BestError=0.03482315  Time=   7.8  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.20144957  Best=0.03495392 BestError=0.03482315  Time=   7.8  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.03495392 BestError=0.03482315  Time=   7.8  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00105667  Best=0.00105667 BestError=0.00327408  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   6  Id=   7  Generation=  9  Age=  9  Evolution= 1  Weight=0.00090683  Old Result= 0.00011335  Bad Result=10.00000000  Best=0.00011335 BestError=0.00003402  Time=   2.5  Run Time=  31.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=  11  Id=   7  Generation= 11  Age= 11  Evolution= 1  Weight=0.00113354  Old Result= 0.00011335  Bad Result=10.00000000  Best=0.00011335 BestError=0.00003402  Time=   2.4  Run Time=  33.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   0  Id=  17  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00038902  Best=0.00011335 BestError=0.00003402  Time=   7.2  Run Time=  36.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   1  Id=  15  Generation=  3  Age=  3  Evolution= 1  Weight=0.00078177  Old Result= 0.00039089 >New Result=0.00034010  Best=0.00011335 BestError=0.00003402  Time=   7.2  Run Time=  36.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   5  Id=   4  Generation=  5  Age=  5  Evolution= 1  Weight=0.00089607  Old Result= 0.00022402  Bad Result=10.00000000  Best=0.00011335 BestError=0.00003402  Time=   7.2  Run Time=  36.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   4  Id=   8  Generation=  7  Age=  2  Evolution= 2  Weight=0.00088031  Old Result= 0.00014672 *New Result=0.00011083  Best=0.00011083 BestError=0.00054990  Time=   7.5  Run Time=  36.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   2  Id=   7  Generation=  8  Age=  8  Evolution= 1  Weight=0.00079348  Old Result= 0.00011335  Bad Result=10.00000000  Best=0.00011083 BestError=0.00054990  Time=   7.6  Run Time=  36.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   7  Id=   7  Generation= 10  Age= 10  Evolution= 1  Weight=0.00102018  Old Result= 0.00011335  Bad Result=10.00000000  Best=0.00011083 BestError=0.00054990  Time=   7.6  Run Time=  36.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=  14  Id=  13  Generation=  4  Age=  4  Evolution= 1  Weight=0.00120437  Old Result= 0.00040146  Bad Result=10.00000000  Best=0.00011083 BestError=0.00054990  Time=   6.9  Run Time=  38.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   9  Id=   0  Generation=  2  Age=  2  Evolution= 1  Weight=0.00105667  Old Result= 0.00105667 >New Result=0.00047678  Best=0.00011083 BestError=0.00054990  Time=   5.9  Run Time=  42.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=  13  Id=   8  Generation=  9  Age=  4  Evolution= 2  Weight=0.00117374  Old Result= 0.00014672  Bad Result=10.00000000  Best=0.00011083 BestError=0.00054990  Time=   5.9  Run Time=  42.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   8  Id=   8  Generation=  8  Age=  3  Evolution= 2  Weight=0.00102703  Old Result= 0.00014672 >New Result=0.00011442  Best=0.00011083 BestError=0.00054990  Time=   6.0  Run Time=  42.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=  10  Id=   4  Generation=  6  Age=  6  Evolution= 1  Weight=0.00112009  Old Result= 0.00022402 >New Result=0.00020155  Best=0.00011083 BestError=0.00054990  Time=   5.9  Run Time=  42.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=  12  Id=  15  Generation=  4  Age=  4  Evolution= 1  Weight=0.00117266  Old Result= 0.00039089 >New Result=0.00028372  Best=0.00011083 BestError=0.00054990  Time=   5.9  Run Time=  42.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=  15  Id=   7  Generation= 12  Age= 12  Evolution= 1  Weight=0.00124689  Old Result= 0.00011335  Bad Result=10.00000000  Best=0.00011083 BestError=0.00054990  Time=   5.9  Run Time=  42.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   0  Id=  18  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.01122585  Best=0.00011083 BestError=0.00054990  Time=   7.3  Run Time=  50.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   3  Id=   8  Generation= 11  Age=  2  Evolution= 3  Weight=0.00110830  Old Result= 0.00011083  Bad Result=10.00000000  Best=0.00011083 BestError=0.00054990  Time=   7.6  Run Time=  50.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   4  Id=  17  Generation=  4  Age=  4  Evolution= 1  Weight=0.00116705  Old Result= 0.00038902 >New Result=0.00037377  Best=0.00011083 BestError=0.00054990  Time=   7.6  Run Time=  50.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   6  Id=   8  Generation= 13  Age=  4  Evolution= 3  Weight=0.00132997  Old Result= 0.00011083 *New Result=0.00007400  Best=0.00007400 BestError=0.00010106  Time=   7.6  Run Time=  50.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   5  Id=   8  Generation= 12  Age=  3  Evolution= 3  Weight=0.00121913  Old Result= 0.00011083 *New Result=0.00004121  Best=0.00004121 BestError=0.00004295  Time=   7.8  Run Time=  50.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   7  Id=   7  Generation= 13  Age= 13  Evolution= 1  Weight=0.00136024  Old Result= 0.00011335  Bad Result=10.00000000  Best=0.00004121 BestError=0.00004295  Time=   7.8  Run Time=  50.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 6  Index=   1  Id=  17  Generation=  2  Age=  2  Evolution= 1  Weight=0.00038902  Old Result= 0.00038902 >New Result=0.00018945  Best=0.00004121 BestError=0.00004295  Time=   8.0  Run Time=  50.9
