CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 29
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_REVOLVE
evolveSeed = 0
optimizeSeed = 0
seeds = 64
tests = 1
units = 8
processes = 8
population = 278528
iterations = 64
generations = 100
precision = 0
candidates = 16
attempts = 32

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=3  Age=2  Evolution=2  Result=0.00022149  Best=0.00002921  BestSeed=0  BestGen=1  Time=0.0000 Seconds  Run Time=714.3727 Seconds  TestError=0.00000024
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=3  Age=2  Evolution=1  Result=0.00036341  Best=0.00002921  BestSeed=0  BestGen=1  Time=0.0000 Seconds  Run Time=714.3747 Seconds  TestError=0.00000024
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=3  Age=2  Evolution=2  Result=0.00045419  Best=0.00002921  BestSeed=0  BestGen=1  Time=0.0000 Seconds  Run Time=714.3768 Seconds  TestError=0.00000024
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=3  Age=2  Evolution=2  Result=0.00086868  Best=0.00002921  BestSeed=0  BestGen=1  Time=0.0000 Seconds  Run Time=714.3787 Seconds  TestError=0.00000024
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=3  Age=2  Evolution=1  Result=0.00213838  Best=0.00002921  BestSeed=0  BestGen=1  Time=0.0000 Seconds  Run Time=714.3806 Seconds  TestError=0.00000024
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=3  Age=2  Evolution=1  Result=0.03509599  Best=0.00002921  BestSeed=0  BestGen=1  Time=0.0000 Seconds  Run Time=714.3828 Seconds  TestError=0.00000024
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=3  Age=2  Evolution=1  Result=0.85227418  Best=0.00002921  BestSeed=0  BestGen=1  Time=0.0000 Seconds  Run Time=714.3847 Seconds  TestError=0.00000024
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=4  Age=0  Evolution=2  Result=0.00003043  Best=0.00001550  BestSeed=0  BestGen=4  Time=0.0001 Seconds  Run Time=724.3818 Seconds  TestError=0.00000027
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=4  Age=0  Evolution=2  Result=0.00019774  Best=0.00001550  BestSeed=0  BestGen=4  Time=0.0000 Seconds  Run Time=724.3844 Seconds  TestError=0.00000027
FIRESTARTER_REVOLVE: Seed=0  Unit=2  Generation=4  Age=0  Evolution=2  Result=0.00035322  Best=0.00001550  BestSeed=0  BestGen=4  Time=0.0000 Seconds  Run Time=724.3865 Seconds  TestError=0.00000027
