instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 69632;
iterations = 256;
generations = 10;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  29  Best=0.01093009  Result=0.01093009  Best=0.01093009  Seed=C0A94A96  ResultHash=B370  ProgramHash=FA40
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.01092827  Result=0.01092827  Best=0.01092827  Seed=C0A94AA0  ResultHash=5E3F  ProgramHash=FA40
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.01090929  Result=0.01090929  Best=0.01090929  Seed=C0A94AAA  ResultHash=34F2  ProgramHash=FA40
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.01089230  Result=0.01089230  Best=0.01089230  Seed=C0A94AB4  ResultHash=31FE  ProgramHash=FA40
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.01089230  Result=0.01090041  Best=0.01089230  Seed=C0A94ABE  ResultHash=7ECC  ProgramHash=FA40
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.01089230  Result=0.01089919  Best=0.01089230  Seed=C0A94AC8  ResultHash=F25C  ProgramHash=FA40
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.01089230  Result=0.01089895  Best=0.01089230  Seed=C0A94AD2  ResultHash=2DFF  ProgramHash=FA40
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.01088446  Result=0.01088446  Best=0.01088446  Seed=C0A94ADC  ResultHash=2116  ProgramHash=FA40
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.01088390  Result=0.01088390  Best=0.01088390  Seed=C0A94AE6  ResultHash=9F5B  ProgramHash=FA40
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.01086956  Result=0.01086956  Best=0.01086956  Seed=C0A94AF0  ResultHash=2EBC  ProgramHash=FA40
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.01086956  Result=0.01088825  Best=0.01086956  Seed=C0A94AFA  ResultHash=9F61  ProgramHash=FA40
