CUDA devices = 2
Device 0: NVIDIA GeForce RTX 5090
Device 1: NVIDIA GeForce RTX 5090

variations = 1
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
streams = 1
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.04459662  Best=0.04459662 BestError=0.00702983  Time=   1.2  Run Time=   1.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   3  Id=   3  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00011020  Best=0.00011020 BestError=0.00004570  Time=   1.3  Run Time=   1.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00133680  Best=0.00011020 BestError=0.00004570  Time=   1.2  Run Time=   1.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.30758688  Best=0.00011020 BestError=0.00004570  Time=   1.3  Run Time=   1.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.04087594  Best=0.00011020 BestError=0.00004570  Time=   1.3  Run Time=   1.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   4  Id=   8  Generation= 18  Age= 18  Evolution= 1  Weight=0.00006384  Old Result= 0.00000376  Bad Result=0.00001872  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=   6.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   0  Id=  17  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00031352  Best=0.00000376 BestError=0.00002700  Time=   1.3  Run Time=   6.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   1  Id=   8  Generation= 16  Age= 16  Evolution= 1  Weight=0.00005633  Old Result= 0.00000376  Bad Result=0.00005186  Best=0.00000376 BestError=0.00002700  Time=   1.3  Run Time=   6.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   6  Id=   8  Generation= 19  Age= 19  Evolution= 1  Weight=0.00006759  Old Result= 0.00000376  Bad Result=0.00015020  Best=0.00000376 BestError=0.00002700  Time=   1.3  Run Time=   6.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   3  Id=  14  Generation=  2  Age=  2  Evolution= 1  Weight=0.00006365  Old Result= 0.00006365  Bad Result=0.00317742  Best=0.00000376 BestError=0.00002700  Time=   1.4  Run Time=   6.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  13  Id=   8  Generation= 26  Age= 26  Evolution= 1  Weight=0.00009388  Old Result= 0.00000376  Bad Result=0.00010341  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=   7.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  15  Id=   8  Generation= 27  Age= 27  Evolution= 1  Weight=0.00009763  Old Result= 0.00000376  Bad Result=0.00052920  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=   7.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  12  Id=   8  Generation= 25  Age= 25  Evolution= 1  Weight=0.00009012  Old Result= 0.00000376  Bad Result=0.00042550  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=   7.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  10  Id=   8  Generation= 23  Age= 23  Evolution= 1  Weight=0.00008261  Old Result= 0.00000376  Bad Result=0.00056452  Best=0.00000376 BestError=0.00002700  Time=   1.3  Run Time=   7.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   9  Id=   8  Generation= 22  Age= 22  Evolution= 1  Weight=0.00007886  Old Result= 0.00000376  Bad Result=0.00034242  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=   7.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  11  Id=   8  Generation= 24  Age= 24  Evolution= 1  Weight=0.00008637  Old Result= 0.00000376  Bad Result=0.00030601  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   8  Id=   8  Generation= 21  Age= 21  Evolution= 1  Weight=0.00007510  Old Result= 0.00000376  Bad Result=0.00012475  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  14  Id=  10  Generation=  4  Age=  4  Evolution= 1  Weight=0.00009736  Old Result= 0.00003245  Bad Result=0.00029558  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   3  Id=   8  Generation= 29  Age= 29  Evolution= 1  Weight=0.00010514  Old Result= 0.00000376  Bad Result=0.00013083  Best=0.00000376 BestError=0.00002700  Time=   1.0  Run Time=   9.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   7  Id=   8  Generation= 32  Age= 32  Evolution= 1  Weight=0.00011641  Old Result= 0.00000376  Bad Result=0.00003590  Best=0.00000376 BestError=0.00002700  Time=   1.1  Run Time=   9.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   5  Id=   3  Generation=  2  Age=  2  Evolution= 1  Weight=0.00011020  Old Result= 0.00011020  Bad Result=0.05012128  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=   9.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   4  Id=   8  Generation= 30  Age= 30  Evolution= 1  Weight=0.00010890  Old Result= 0.00000376  Bad Result=0.00012118  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=   9.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   0  Id=  18  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00662184  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=   9.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   2  Id=   8  Generation= 28  Age= 28  Evolution= 1  Weight=0.00010139  Old Result= 0.00000376  Bad Result=0.00068539  Best=0.00000376 BestError=0.00002700  Time=   1.3  Run Time=   9.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   6  Id=   8  Generation= 31  Age= 31  Evolution= 1  Weight=0.00011265  Old Result= 0.00000376  Bad Result=0.00016803  Best=0.00000376 BestError=0.00002700  Time=   1.3  Run Time=   9.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   1  Id=   7  Generation=  2  Age=  2  Evolution= 1  Weight=0.00009831  Old Result= 0.00009831  Bad Result=0.00050658  Best=0.00000376 BestError=0.00002700  Time=   1.7  Run Time=   9.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  11  Id=   8  Generation= 35  Age= 35  Evolution= 1  Weight=0.00012767  Old Result= 0.00000376  Bad Result=0.00006485  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=  10.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  15  Id=   8  Generation= 38  Age= 38  Evolution= 1  Weight=0.00013894  Old Result= 0.00000376  Bad Result=0.00017467  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=  10.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  12  Id=  10  Generation=  5  Age=  5  Evolution= 1  Weight=0.00012982  Old Result= 0.00003245  Bad Result=0.00008178  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=  10.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   8  Id=   8  Generation= 33  Age= 33  Evolution= 1  Weight=0.00012016  Old Result= 0.00000376  Bad Result=0.00004083  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=  10.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  13  Id=   8  Generation= 36  Age= 36  Evolution= 1  Weight=0.00013143  Old Result= 0.00000376  Bad Result=0.00014475  Best=0.00000376 BestError=0.00002700  Time=   1.2  Run Time=  10.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   9  Id=   8  Generation= 34  Age= 34  Evolution= 1  Weight=0.00012392  Old Result= 0.00000376  Bad Result=0.00001580  Best=0.00000376 BestError=0.00002700  Time=   0.9  Run Time=  10.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  10  Id=  14  Generation=  3  Age=  3  Evolution= 1  Weight=0.00012730  Old Result= 0.00006365 >New Result=0.00001428  Best=0.00000376 BestError=0.00002700  Time=   1.3  Run Time=  10.7
