instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
generations = 4;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  28  Best=0.03592634  Result=0.04238975  Best=0.03592634  Seed=C0A949DE  ResultHash=2819  ProgramHash=5431
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  29  Best=0.03592634  Result=0.04251784  Best=0.03592634  Seed=C0A949E2  ResultHash=E696  ProgramHash=4386
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  30  Best=0.03592634  Result=0.04262006  Best=0.03592634  Seed=C0A949E6  ResultHash=1BCE  ProgramHash=C23E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  31  Best=0.03592634  Result=0.04275781  Best=0.03592634  Seed=C0A949EA  ResultHash=D03A  ProgramHash=39B4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  32  Best=0.03592634  Result=0.04301822  Best=0.03592634  Seed=C0A949EE  ResultHash=39DC  ProgramHash=499D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  33  Best=0.03592634  Result=0.04326588  Best=0.03592634  Seed=C0A949F2  ResultHash=32CC  ProgramHash=82ED
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  34  Best=0.03592634  Result=0.04350889  Best=0.03592634  Seed=C0A949F6  ResultHash=1D1E  ProgramHash=82ED
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  35  Best=0.03592634  Result=0.04375798  Best=0.03592634  Seed=C0A949FA  ResultHash=7AE8  ProgramHash=823F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  36  Best=0.03592634  Result=0.04380924  Best=0.03592634  Seed=C0A949FE  ResultHash=AFEC  ProgramHash=A0CB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  37  Best=0.03592634  Result=0.04384655  Best=0.03592634  Seed=C0A94A02  ResultHash=C55C  ProgramHash=F692
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.00269103  Result=0.00269103  Best=0.00269103  Seed=C0A949CE  ResultHash=6FDC  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.00078219  Result=0.00078219  Best=0.00078219  Seed=C0A94A32  ResultHash=D5CD  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.00075054  Result=0.00075054  Best=0.00075054  Seed=C0A94A96  ResultHash=70EC  ProgramHash=1187
