CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00739241  Best=0.00739241 BestError=0.00605810  Time=   7.4  Run Time=   7.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.00739241 BestError=0.00605810  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00005990  Best=0.00005990 BestError=0.00009436  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00067213  Best=0.00005990 BestError=0.00009436  Time=   7.9  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   1  Id=   4  Generation= 12  Age=  2  Evolution= 2  Weight=0.00032258  Old Result= 0.00002933  Bad Result=10.00000000  Best=0.00002933 BestError=0.00006351  Time=   2.5  Run Time=  27.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   6  Id=   4  Generation= 17  Age=  7  Evolution= 2  Weight=0.00046921  Old Result= 0.00002933  Bad Result=10.00000000  Best=0.00002933 BestError=0.00006351  Time=   2.6  Run Time=  27.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   4  Id=   4  Generation= 15  Age=  5  Evolution= 2  Weight=0.00041056  Old Result= 0.00002933  Bad Result=10.00000000  Best=0.00002933 BestError=0.00006351  Time=   2.6  Run Time=  27.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   5  Id=   4  Generation= 16  Age=  6  Evolution= 2  Weight=0.00043988  Old Result= 0.00002933  Bad Result=10.00000000  Best=0.00002933 BestError=0.00006351  Time=   5.0  Run Time=  30.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   9  Id=   4  Generation= 20  Age= 10  Evolution= 2  Weight=0.00055718  Old Result= 0.00002933  Bad Result=10.00000000  Best=0.00002933 BestError=0.00006351  Time=   2.5  Run Time=  30.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  14  Id=   5  Generation=  4  Age=  4  Evolution= 1  Weight=0.00067437  Old Result= 0.00022479  Bad Result=10.00000000  Best=0.00002933 BestError=0.00006351  Time=   2.5  Run Time=  30.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  12  Id=   4  Generation= 23  Age= 13  Evolution= 2  Weight=0.00064516  Old Result= 0.00002933  Bad Result=10.00000000  Best=0.00002933 BestError=0.00006351  Time=   2.5  Run Time=  30.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   2  Id=   4  Generation= 13  Age=  3  Evolution= 2  Weight=0.00035191  Old Result= 0.00002933  Bad Result=10.00000000  Best=0.00002933 BestError=0.00006351  Time=   6.8  Run Time=  31.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   3  Id=   4  Generation= 14  Age=  4  Evolution= 2  Weight=0.00038123  Old Result= 0.00002933 *New Result=0.00002027  Best=0.00002027 BestError=0.00006329  Time=   6.8  Run Time=  31.8
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   0  Id=  17  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.02031754  Best=0.00002027 BestError=0.00006329  Time=   6.9  Run Time=  31.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  15  Id=   4  Generation= 24  Age= 14  Evolution= 2  Weight=0.00067449  Old Result= 0.00002933  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   4.2  Run Time=  31.9
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  10  Id=   4  Generation= 21  Age= 11  Evolution= 2  Weight=0.00058651  Old Result= 0.00002933  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   1.3  Run Time=  33.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  11  Id=   4  Generation= 22  Age= 12  Evolution= 2  Weight=0.00061584  Old Result= 0.00002933  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   1.3  Run Time=  33.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   8  Id=   4  Generation= 19  Age=  9  Evolution= 2  Weight=0.00052786  Old Result= 0.00002933  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   1.2  Run Time=  33.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=  13  Id=   1  Generation=  2  Age=  2  Evolution= 1  Weight=0.00067213  Old Result= 0.00067213  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   3.3  Run Time=  33.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   2  Id=   4  Generation= 27  Age=  3  Evolution= 3  Weight=0.00052691  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   2.4  Run Time=  36.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   1  Id=   4  Generation= 26  Age=  2  Evolution= 3  Weight=0.00050664  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   2.5  Run Time=  36.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   5  Id=   4  Generation= 30  Age=  6  Evolution= 3  Weight=0.00058770  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   2.4  Run Time=  36.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 3  Index=   4  Id=   4  Generation= 29  Age=  5  Evolution= 3  Weight=0.00056744  Old Result= 0.00002027  Bad Result=10.00000000  Best=0.00002027 BestError=0.00006329  Time=   2.6  Run Time=  36.4
