variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
process = 0;
population = 4352;
iterations = 256;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 1;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.10165101  Result=0.10165101  Best=0.10165101  Seed=27922CA2  ResultHash=DA63  ProgramHash=7889
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.10038513  Result=0.10038513  Best=0.10038513  Seed=27922CA7  ResultHash=7FCE  ProgramHash=58C4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.04752469  Result=0.04752469  Best=0.04752469  Seed=27922CAC  ResultHash=2F4E  ProgramHash=A49A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.03919181  Result=0.03919181  Best=0.03919181  Seed=27922CB1  ResultHash=811E  ProgramHash=A49A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.03253698  Result=0.03253698  Best=0.03253698  Seed=27922CB6  ResultHash=8749  ProgramHash=A49A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.02325583  Result=0.02325583  Best=0.02325583  Seed=27922CBB  ResultHash=1D21  ProgramHash=A49A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.02255648  Result=0.02255648  Best=0.02255648  Seed=27922CC0  ResultHash=98B2  ProgramHash=A49A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.02078938  Result=0.02078938  Best=0.02078938  Seed=27922CC5  ResultHash=56E3  ProgramHash=A49A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.01811969  Result=0.01811969  Best=0.01811969  Seed=27922CCA  ResultHash=7886  ProgramHash=A49A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.01638305  Result=0.01638305  Best=0.01638305  Seed=27922CCF  ResultHash=EC17  ProgramHash=A49A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.01544106  Result=0.01544106  Best=0.01544106  Seed=27922CD4  ResultHash=247C  ProgramHash=A49A
