CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_SELECT
evolveSeed = 0
optimizeSeed = 0
tests = 16
streams = 1
units = 8
states = 16
population = 32768
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
attempts = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f

FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 7  Generation=  1  Old Result=0.97522998 >New Result=0.05889861  MinIndex=31468  Best=0.00015244   BestAge=5  Time=1.027  Run Time=90.6
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 7  Generation=  1  Old Result=0.96669585 >New Result=0.00153237  MinIndex=14259  Best=0.00015244   BestAge=6  Time=1.027  Run Time=90.6
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 7  Generation=  1  Old Result=0.94605583 >New Result=0.01634693  MinIndex=8631  Best=0.00015244   BestAge=7  Time=1.027  Run Time=90.6
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 7  Generation=  1  Old Result=0.75301754 >New Result=0.00121336  MinIndex=4347  Best=0.00015244   BestAge=8  Time=1.027  Run Time=90.6
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 7  Generation=  2  Old Result=0.87242472 >New Result=0.00548387  MinIndex=870  Best=0.00015244   BestAge=10  Time=0.991  Run Time=102.7
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 7  Generation=  2  Old Result=0.85933042 >New Result=0.00207257  MinIndex=20683  Best=0.00015244   BestAge=11  Time=0.991  Run Time=102.7
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 7  Generation=  2  Old Result=0.82146358 *New Result=0.00014460  MinIndex=6375  Best=0.00014460   BestAge=0  Time=0.991  Run Time=102.7
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 7  Generation=  2  Old Result=0.91010731 >New Result=0.00579557  MinIndex=13037  Best=0.00014460   BestAge=1  Time=0.994  Run Time=102.7
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 7  Generation=  2  Old Result=0.80930734 >New Result=0.00062022  MinIndex=32490  Best=0.00014460   BestAge=2  Time=0.994  Run Time=102.7
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 7  Generation=  2  Old Result=0.99137694 >New Result=0.00625467  MinIndex=18253  Best=0.00014460   BestAge=3  Time=0.994  Run Time=102.7
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 7  Generation=  2  Old Result=0.90077484 >New Result=0.00052029  MinIndex=13276  Best=0.00014460   BestAge=4  Time=0.994  Run Time=102.7
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 7  Generation=  2  Old Result=0.90884292 >New Result=0.00036469  MinIndex=21710  Best=0.00014460   BestAge=5  Time=0.994  Run Time=102.7
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 7  Generation=  2  Old Result=0.89879954 >New Result=0.00080192  MinIndex=13326  Best=0.00014460   BestAge=6  Time=0.994  Run Time=102.7
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 7  Generation=  2  Old Result=0.96104598 >New Result=0.00091527  MinIndex=25326  Best=0.00014460   BestAge=7  Time=0.994  Run Time=102.7
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 7  Generation=  2  Old Result=0.78037590 >New Result=0.00507212  MinIndex=3271  Best=0.00014460   BestAge=8  Time=0.994  Run Time=102.7
FIRESTARTER_EVOLVE_SELECT: Seed=0  Test= 7  Generation=  2  Old Result=0.96542168 >New Result=0.00068271  MinIndex=2522  Best=0.00014460   BestAge=9  Time=0.994  Run Time=102.7
