CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.85227418  Best=0.85227418 BestError=0.73087966  Time=   7.8  Run Time=   8.1
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   0  Id=   0  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.04457508  Best=0.04457508 BestError=0.01842920  Time=   8.0  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   1  Id=   1  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.14511314  Best=0.04457508 BestError=0.01842920  Time=   8.0  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   7  Id=   7  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.85227418  Best=0.04457508 BestError=0.01842920  Time=   7.9  Run Time=   8.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   5  Id=  10  Generation=  8  Age=  3  Evolution= 2  Weight=0.00108647  Old Result= 0.00015521  Bad Result=10.00000000  Best=0.00009805 BestError=0.00040859  Time=   2.5  Run Time=  31.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   7  Id=   8  Generation= 13  Age=  3  Evolution= 2  Weight=0.00117660  Old Result= 0.00009805  Bad Result=10.00000000  Best=0.00009805 BestError=0.00040859  Time=   2.6  Run Time=  31.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   6  Id=  15  Generation=  8  Age=  4  Evolution= 2  Weight=0.00113399  Old Result= 0.00016200  Bad Result=10.00000000  Best=0.00009805 BestError=0.00040859  Time=   2.5  Run Time=  31.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   2  Id=  10  Generation=  7  Age=  2  Evolution= 2  Weight=0.00093126  Old Result= 0.00015521  Bad Result=10.00000000  Best=0.00009805 BestError=0.00040859  Time=   5.1  Run Time=  34.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  13  Id=  15  Generation= 10  Age=  6  Evolution= 2  Weight=0.00145798  Old Result= 0.00016200  Bad Result=10.00000000  Best=0.00009805 BestError=0.00040859  Time=   2.5  Run Time=  34.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   9  Id=   8  Generation= 14  Age=  4  Evolution= 2  Weight=0.00127465  Old Result= 0.00009805  Bad Result=10.00000000  Best=0.00009805 BestError=0.00040859  Time=   2.8  Run Time=  34.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=  14  Id=   8  Generation= 16  Age=  6  Evolution= 2  Weight=0.00147074  Old Result= 0.00009805  Bad Result=10.00000000  Best=0.00009805 BestError=0.00040859  Time=   2.6  Run Time=  34.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   0  Id=  17  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00033545  Best=0.00009805 BestError=0.00040859  Time=   6.7  Run Time=  35.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   3  Id=  15  Generation=  7  Age=  3  Evolution= 2  Weight=0.00097199  Old Result= 0.00016200  Bad Result=10.00000000  Best=0.00009805 BestError=0.00040859  Time=   6.8  Run Time=  35.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test= 1  Index=   4  Id=   8  Generation= 12  Age=  2  Evolution= 2  Weight=0.00107855  Old Result= 0.00009805  Bad Result=10.00000000  Best=0.00009805 BestError=0.00040859  Time=   6.8  Run Time=  35.6
